incidentType,initNumActive,initNumHerding,initNumConservative,initNumDoors,finalTotalNumHurt,finalNumEscaped,finalNumDead,evacuationTimeSeconds
water,5,5,5,12,0,15,0,37.160
fire,5,10,5,12,0,20,0,33.729
fire,5,15,5,12,0,24,1,41.774
fire,5,20,5,12,0,30,0,53.211
fire,5,25,5,12,0,26,9,33.578
terrorism,5,31,5,12,0,30,11,40.685
fire,5,40,5,12,0,49,1,47.153
water,5,45,5,12,0,53,2,49.961
fire,10,10,5,12,0,25,0,37.752
fire,15,10,5,12,0,30,0,34.504
fire,20,10,5,12,0,35,0,38.260
fire,25,10,5,12,0,30,10,35.891
terrorism,30,10,5,12,0,36,9,44.725
terrorism,35,10,5,12,0,41,9,43.074
terrorism,39,10,5,12,0,43,11,44.025
terrorism,44,10,5,12,0,54,5,50.110
terrorism,10,10,15,12,0,35,0,39.187
terrorism,10,10,20,12,0,29,11,61.796
water,10,10,25,12,0,44,1,44.483
fire,10,10,35,12,0,50,5,57.852
water,10,10,10,12,0,27,3,49.250
fire,10,10,10,13,0,30,0,25.109
terrorism,10,10,10,14,0,28,2,12.029
terrorism,10,10,10,14,0,30,0,10.448
water,10,10,10,15,0,30,0,22.522
water,10,10,10,15,0,30,0,18.819
terrorism,10,10,10,15,0,30,0,9.919
water,10,10,10,15,0,27,3,16.186
water,10,10,10,15,0,30,0,16.538
fire,10,10,10,15,0,30,0,18.154
